,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
142,Matt Ryan,Kareem Hunt,Giovani Bernard,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Nelson Agholor,Dallas Cowboys,143.19200000000004,49800
143,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Keelan Cole,Eric Ebron,George Kittle,Dallas Cowboys,143.19200000000004,49800
144,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Nelson Agholor,Chicago Bears,143.188,49900
145,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Will Fuller,Eric Ebron,Todd Gurley,Dallas Cowboys,143.18200000000002,49600
146,Deshaun Watson,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Allen Robinson,Dallas Cowboys,143.17800000000003,50000
147,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Chicago Bears,143.178,49500
148,Matt Ryan,Todd Gurley,Giovani Bernard,Julio Jones,Tyler Boyd,Allen Robinson,Eric Ebron,George Kittle,Minnesota Vikings,143.17200000000003,50000
149,Deshaun Watson,Kareem Hunt,Todd Gurley,Julio Jones,Cooper Kupp,Allen Robinson,Eric Ebron,George Kittle,Dallas Cowboys,143.168,49600
150,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,George Kittle,Giovani Bernard,Dallas Cowboys,143.162,50000
151,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Cooper Kupp,Will Fuller,Eric Ebron,George Kittle,Dallas Cowboys,143.15200000000002,49700
152,Deshaun Watson,Corey Clement,Latavius Murray,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Tevin Coleman,Dallas Cowboys,143.148,49900
153,Matt Ryan,Corey Clement,Tevin Coleman,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Nelson Agholor,Dallas Cowboys,143.13200000000003,49800
154,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Keelan Cole,Eric Ebron,Todd Gurley,Dallas Cowboys,143.104,49500
155,Deshaun Watson,Corey Clement,Latavius Murray,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Nelson Agholor,Dallas Cowboys,143.098,49600
156,Matt Ryan,Corey Clement,Tevin Coleman,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Allen Robinson,Minnesota Vikings,143.08200000000002,50000
157,Cam Newton,Corey Clement,Latavius Murray,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Alvin Kamara,Minnesota Vikings,143.074,49800
158,Matt Ryan,Todd Gurley,Latavius Murray,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.05200000000002,49900
