QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Justin Herbert (15751354),Mike Davis (15751496),James Conner (15751414),Keenan Allen (15751648),Davante Adams (15751638),DeVante Parker (15751706),Austin Hooper (15751968),DJ Moore (15751702),Rams  (15752149),49800.0,114.90042857142858,152.3247142857143,199.51999999999998,280,322,1192,1794,234
Derek Carr (15751367),Mike Davis (15751496),Alvin Kamara (15751410),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),Jakeem Grant (15751800),Lions  (15752142),50000.0,114.04142857142858,152.32085714285714,199.38057142857141,525,323,1242,2090,293
Justin Herbert (15751354),Mike Davis (15751496),Alvin Kamara (15751410),Keenan Allen (15751648),Terry McLaurin (15751652),DeVante Parker (15751706),Darren Waller (15751946),Danny Amendola (15751746),Rams  (15752149),49700.0,115.28042857142857,152.30471428571428,202.62,210,324,518,1052,92
Justin Herbert (15751354),Mike Davis (15751496),Alvin Kamara (15751410),Keenan Allen (15751648),Davante Adams (15751638),Jakeem Grant (15751800),Austin Hooper (15751968),DJ Moore (15751702),Lions  (15752142),49500.0,112.80042857142858,152.30185714285716,198.1285714285714,1153,325,1603,3081,557
Tom Brady (15751356),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),Terry McLaurin (15751652),Keelan Cole (15751772),Darren Waller (15751946),Aaron Jones (15751412),Rams  (15752149),49800.0,110.19242857142858,152.2997142857143,198.682,3886,326,1428,5640,1336
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),Jakeem Grant (15751800),Stefon Diggs (15751644),Darren Waller (15751946),James Robinson (15751420),Rams  (15752149),49900.0,114.04042857142858,152.2897142857143,206.29000000000002,526,327,117,970,77
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Jakeem Grant (15751800),Stefon Diggs (15751644),Darren Waller (15751946),James Robinson (15751420),Rams  (15752149),50000.0,111.24042857142858,152.2897142857143,205.1,2557,328,204,3089,562
Tom Brady (15751356),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Davante Adams (15751638),Robby Anderson (15751670),Darren Waller (15751946),Danny Amendola (15751746),Rams  (15752149),49600.0,116.84242857142858,152.28971428571427,199.53199999999998,46,329,1187,1562,190
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),Jakeem Grant (15751800),Robby Anderson (15751670),Darren Waller (15751946),Stefon Diggs (15751644),Lions  (15752142),49800.0,115.59042857142857,152.28685714285714,203.51857142857145,162,330,372,864,62
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Jakeem Grant (15751800),Robby Anderson (15751670),Darren Waller (15751946),Stefon Diggs (15751644),Lions  (15752142),49900.0,112.79042857142859,152.28685714285714,202.32857142857142,1155,331,571,2057,286
